flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label,final_label
0.0,757.0,6.0,64.0,23.67185756150695,23.67185756150695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9627.0,374.0,1457.0,883.2022173904529,538.470739883507,944.0,83340575.04624039,9.5,41.84554580588544,761.4567603516936,305219.32230083307,0.95,141.55,DDoS-ACK_Fragmentation,DDoS
0.0,54.0,6.0,64.0,2.393045665190591,2.393045665190591,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,567.0,54.0,54.0,54.0,0.0,54.0,83093265.31007522,9.5,10.392304845413264,0.0,0.0,0.0,141.55,DDoS-SYN_Flood,DDoS
0.0339823198318481,56.78,6.11,64.64,1.19271478437119,1.19271478437119,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,572.51,54.0,59.51,54.753344500571664,1.7275263719350318,54.29,83330863.4283765,9.5,10.462812588467663,2.4452861688730807,16.85311781532524,0.19,141.55,DDoS-PSHACK_Flood,DDoS
0.0,0.0,47.0,64.0,9.841972006147856,9.841972006147856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6216.0,592.0,592.0,592.0,0.0,592.0,83702780.87575741,9.5,34.409301068170514,0.0,0.0,0.0,141.55,Mirai-greeth_flood,Botnet
3.944827942848205,108.0,6.0,64.0,0.506992964753742,0.506992964753742,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,567.0,54.0,54.0,54.0,0.0,54.0,82972700.9367235,9.5,10.392304845413264,0.0,0.0,0.0,141.55,DoS-SYN_Flood,DoS
0.0,0.0,1.0,64.0,42.55606004494745,42.55606004494745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,441.0,42.0,42.0,42.0,0.0,42.0,83124696.12383524,9.5,9.16515138991168,0.0,0.0,0.0,141.55,DDoS-ICMP_Flood,DDoS
0.0,0.0,1.0,64.0,2.183256071675776,2.183256071675776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,441.0,42.0,42.0,42.0,0.0,42.0,83150309.52010478,9.5,9.16515138991168,0.0,0.0,0.0,141.55,DDoS-ICMP_Flood,DDoS
0.0,54.0,6.0,64.0,1.883593891742068,1.883593891742068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,567.0,54.0,54.0,54.0,0.0,54.0,83072308.27062176,9.5,10.392304845413264,0.0,0.0,0.0,141.55,DDoS-TCP_Flood,DDoS
0.0,54.0,6.0,64.0,4.711073043296595,4.711073043296595,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,567.0,54.0,54.0,54.0,0.0,54.0,83094381.16313949,9.5,10.392304845413264,0.0,0.0,0.0,141.55,DDoS-SYN_Flood,DDoS
0.0,0.0,1.0,64.0,4.68649100117042,4.68649100117042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,441.0,42.0,42.0,42.0,0.0,42.0,83150050.05314048,9.5,9.16515138991168,0.0,0.0,0.0,141.55,DDoS-ICMP_Flood,DDoS
